Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Philippines,Asia,112508994,4151079,0.0,66481.0,0.0,4072213.0,0.0,12385.0,162.0,36896,591.0,35309541.0,313837.0,WesternPacific
South Africa,Africa,60756135,4076463,0.0,102595.0,0.0,3912506.0,0.0,61362.0,192.0,67095,1689.0,26795090.0,441027.0,Africa
Romania,Europe,19031335,3405206,0.0,68193.0,0.0,3334163.0,0.0,2850.0,79.0,178926,3583.0,27549317.0,1447577.0,Europe
Denmark,Europe,5834950,3182004,0.0,8723.0,0.0,3172983.0,0.0,298.0,5.0,545335,1495.0,129290437.0,22157934.0,Europe
Hong Kong,Asia,7604299,2904315,0.0,13819.0,0.0,2877736.0,387.0,12760.0,28.0,381931,1817.0,76127725.0,10011143.0,WesternPacific
Sweden,Europe,10218971,2710457,0.0,24389.0,0.0,2683951.0,194.0,2117.0,8.0,265238,2387.0,19500873.0,1908301.0,Europe
Serbia,Europe,8653016,2542488,0.0,18056.0,0.0,2521931.0,0.0,2501.0,5.0,293827,2087.0,12958539.0,1497575.0,Europe
Singapore,Asia,5943546,2481404,0.0,1727.0,0.0,2149583.0,0.0,330094.0,2.0,417496,291.0,24756666.0,4165302.0,WesternPacific
Iraq,Asia,42164965,2465545,0.0,25375.0,0.0,2439497.0,0.0,673.0,21.0,58474,602.0,19544451.0,463523.0,EasternMediterranean
New Zealand,Australia/Oceania,4898203,2387201,0.0,4400.0,0.0,2372212.0,0.0,10589.0,0.0,487363,898.0,7768604.0,1586011.0,WesternPacific
Hungary,Europe,9606259,2202990,0.0,48874.0,0.0,2152155.0,0.0,1961.0,3.0,229329,5088.0,11394556.0,1186160.0,Europe
Bangladesh,Asia,167885689,2039911,0.0,29451.0,0.0,1998448.0,0.0,12012.0,0.0,12151,175.0,15254399.0,90862.0,South-EastAsia
Slovakia,Europe,5460193,1866857,0.0,21167.0,0.0,1845647.0,0.0,43.0,2.0,341903,3877.0,7432749.0,1361261.0,Europe
Georgia,Asia,3968738,1842046,0.0,17070.0,0.0,1776548.0,0.0,48428.0,0.0,464139,4301.0,16920079.0,4263340.0,Europe
Jordan,Asia,10300869,1746997,0.0,14122.0,0.0,1731007.0,0.0,1868.0,59.0,169597,1371.0,17201885.0,1669945.0,EasternMediterranean
Ireland,Europe,5020199,1712938,0.0,8998.0,0.0,1702273.0,608.0,1667.0,19.0,341209,1792.0,13083449.0,2606161.0,Europe
Pakistan,Asia,229488994,1581080,2.0,30660.0,0.0,1538689.0,0.0,11731.0,6.0,6890,134.0,30571377.0,133215.0,EasternMediterranean
Norway,Europe,5511370,1485102,0.0,5528.0,0.0,1478595.0,0.0,979.0,20.0,269461,1003.0,11002430.0,1996315.0,Europe
Finland,Europe,5554960,1480370,0.0,9750.0,0.0,1468184.0,134.0,2436.0,21.0,266495,1755.0,12101220.0,2178453.0,Europe
Kazakhstan,Asia,19205043,1411831,0.0,13848.0,0.0,1383020.0,0.0,14963.0,24.0,73514,721.0,11575012.0,602707.0,Europe
Slovenia,Europe,2078034,1344096,0.0,7100.0,0.0,1328006.0,0.0,8990.0,8.0,646811,3417.0,2847701.0,1370382.0,Europe
Lithuania,Europe,2661708,1320775,0.0,9687.0,0.0,1310102.0,0.0,986.0,3.0,496213,3639.0,10456160.0,3928365.0,Europe
Bulgaria,Europe,6844597,1308063,0.0,38399.0,0.0,1267719.0,0.0,1945.0,30.0,191109,5610.0,11247680.0,1643293.0,Europe
Morocco,Africa,37772756,1274180,0.0,16297.0,0.0,1256151.0,0.0,1732.0,3.0,33733,431.0,13001033.0,344191.0,EasternMediterranean
Croatia,Europe,4059286,1273871,0.0,18266.0,0.0,1255405.0,0.0,200.0,6.0,313817,4500.0,5606067.0,1381048.0,Europe
Guatemala,North America,18584039,1253915,0.0,20203.0,0.0,1231137.0,0.0,2575.0,5.0,67473,1087.0,7366630.0,396396.0,Americas
Lebanon,Asia,6684849,1238364,0.0,10930.0,0.0,1087587.0,0.0,139847.0,74.0,185249,1635.0,4795578.0,717380.0,EasternMediterranean
Costa Rica,North America,5182354,1233482,0.0,9379.0,0.0,860711.0,0.0,363392.0,52.0,238016,1810.0,4659757.0,899158.0,Americas
Bolivia,South America,11992656,1199962,0.0,22386.0,0.0,1168943.0,0.0,8633.0,220.0,100058,1867.0,2710261.0,225993.0,Americas
Tunisia,Africa,12046656,1153361,0.0,29423.0,0.0,0.0,0.0,0.0,44.0,95741,2442.0,5013383.0,416164.0,EasternMediterranean
Cuba,North America,11305652,1114407,0.0,8530.0,0.0,1105709.0,0.0,168.0,2.0,98571,754.0,14345279.0,1268859.0,Americas
UAE,Asia,10081785,1067030,0.0,2349.0,0.0,1054525.0,0.0,10156.0,0.0,105837,233.0,200732262.0,19910389.0,EasternMediterranean
